,Cnsmr,Manuf,HiTec,Hlth ,Other
200503,-0.95,-1.79,-1.92,-0.41,-2.38
200504,-4.08,-3.91,-3.83,3.95,-1.62
200505,4.9,2.42,6.49,1.45,3.34
200506,0.85,2.24,-1.21,-0.57,1.43
200507,4.46,5.39,5.29,3.73,2.49
200508,-3.22,1.42,-0.56,-0.33,-1.72
200509,-1.27,3.68,0.23,-1.95,1.32
200510,-0.32,-6.09,-1.92,-3.25,1.32
200511,2.76,2.82,5.64,1.57,4.98
200512,-0.32,1.06,-1.8,2.4,0.12
200601,1.54,7.3,4,2.15,1.58
200602,1.25,-2.37,-0.25,1.07,1.07
200603,2,2.19,2.71,-0.96,1.85
200604,-0.44,3.88,-0.46,-1.93,2.23
200605,-0.28,-2.58,-5.55,-2.18,-3.41
200606,0.25,1.13,-0.33,-0.14,-0.33
200607,-1.3,0.79,-2.27,4.27,-1.13
200608,2.56,0.23,5.95,2.29,1.64
200609,3.23,-0.74,3.54,1.67,3.36
200610,3.52,4.85,4.52,1.66,2.85
200611,-0.02,5.13,2.45,0.05,1.68
200612,1.5,-0.34,0.3,0.08,3.25
200701,2.7,1.19,2.28,3.5,1.08
200702,-1.04,0.41,-2.51,-2.8,-2.27
200703,1.28,3.49,1.21,-0.21,-0.32
200704,3.1,4.59,4.17,6.84,3.38
200705,2.62,4.9,4.69,1.12,3.3
200706,-1.25,-0.85,0.04,-3.4,-2.73
200707,-4.96,-1.06,-1.63,-3.98,-5.53
200708,1.33,0.78,1.85,2.25,0.91
200709,1.26,5.94,3.69,3.55,2.68
200710,1.53,2.56,4.59,1.55,-0.18
200711,-2.15,-2.94,-7.21,0.03,-6.3
200712,-2,3.35,1,-4.07,-3.65
200801,-2.71,-7.95,-11.37,-4.55,-1.95
200802,-2.98,2.34,-3.76,-0.91,-8.36
200803,1.19,-1.01,0.36,-1.8,-1.7
200804,2.44,7.36,6.25,0.42,3.58
200805,2.15,3.7,5.39,1.63,-2.41
200806,-8.5,-3.19,-9.38,-3,-14.87
200807,1.42,-7.77,-1.38,6.77,4.51
200808,3.63,0.6,2.77,1.8,0.34
200809,-4.7,-12.59,-12.59,-5.95,-6.83
200810,-14.73,-17.58,-17.66,-10.95,-20.24
200811,-7.37,-3.11,-8.95,-7.36,-12.16
200812,2.66,-0.75,2.63,6.74,1.32
200901,-6.14,-5.47,-4.96,-2.19,-18.31
200902,-5.43,-12.91,-5.51,-9.93,-14.12
200903,8.46,5.24,10.41,7.04,13.03
200904,8.77,9.34,11.81,-0.95,16.59
200905,2.1,7.21,2.72,6.25,7.63
200906,0.16,-1.85,3.74,3.54,-1.98
200907,7.64,7.73,7.54,5.53,9.07
200908,2.5,1.63,2,2.19,7.99
200909,3.16,5.22,5.55,2.4,3.22
200910,-0.27,-0.79,-1.82,-3.69,-5.25
200911,4.79,5.43,5.31,8.22,5.85
200912,2.43,2.02,6.01,2.46,1.27
201001,-1.99,-4.05,-7.62,-0.01,-1.65
201002,3.86,3.32,4.36,0.38,3.42
201003,6.34,4.78,6.88,3.61,8.42
201004,1.53,3.46,2.49,-2.22,2.16
201005,-5.71,-8.71,-7.27,-8.01,-8.87
201006,-6.46,-5.12,-5.71,-1.64,-7.7
201007,6.45,8.49,7.92,2.15,7.51
201008,-3.33,-3.79,-5.51,-1.66,-7.52
201009,9.85,8.69,11.48,9,8.84
201010,3.61,4.36,5.97,2.02,2.6
201011,2.82,2.37,-1.06,-3.34,0.48
201012,4.1,7.25,6.16,5.4,9.75
201101,-1.34,4.2,3.01,-0.71,1.92
201102,2.89,4.87,3.45,3.33,2.63
201103,1.89,1.81,-0.83,2.29,-0.86
201104,4.36,2.58,3.16,6.37,1.11
201105,0.92,-2.55,-1.13,1.96,-2.4
201106,-0.96,-1.15,-2.17,-1.83,-2.06
201107,-1.38,-2.1,-1.3,-3.65,-3.7
201108,-2.86,-6.58,-6.53,-3.09,-7.54
201109,-5.11,-9.87,-5.08,-3.96,-10.37
201110,9.47,13.45,11,5.54,13.21
201111,0.45,1.61,-1.52,1.27,-1.61
201112,1.13,0.01,-0.44,3.53,1.14
201201,3.36,2.96,6.9,3.38,6.76
201202,3.7,4.35,6.23,1.23,3.88
201203,4.05,-0.63,4.26,3.96,4.73
201204,0.25,-0.62,-1.3,0.61,-1.67
201205,-3.29,-7.67,-6.45,-3.28,-7.18
201206,2.05,3.19,3.8,6.8,4.85
201207,1.24,2.06,0.46,1.65,-1.02
201208,1.84,1.81,3.74,0.98,2.77
201209,1.66,2.52,2.33,4.67,3.84
201210,-0.77,-0.81,-5.45,-1.88,0.7
201211,2.27,0.03,1.47,1.5,-0.09
201212,-0.91,1.82,0.53,-0.53,3.51
201301,5.23,6.35,3.07,8.08,6.92
201302,1.68,1.21,0.96,1.35,1.69
201303,4.76,2.9,3.34,6.52,4.05
201304,3.19,0.72,1.42,2.58,0.89
201305,1.12,1.5,2.76,1.61,6.02
201306,-0.05,-1.7,-1.61,-1.36,-1.21
201307,5.06,5.45,5.39,7.87,5.44
201308,-3.84,-2.3,-0.79,-3.86,-3.65
201309,3.74,3.39,3.94,4,3.76
201310,4.57,4.41,4.32,3.83,3.74
201311,2.67,1.46,2.76,4.44,4.54
201312,1.11,2.86,4.03,0.63,3.06
201401,-5.94,-4.13,-1.74,1.57,-4.44
201402,4.9,5.09,4.66,6.49,3.47
201403,0.73,1.42,-0.62,-2.54,2.33
201404,0.03,3.04,-0.89,-0.29,-1.64
201405,1.83,0.91,3.56,1.89,1.72
201406,1.53,2.94,2.66,2.85,2.13
201407,-3.25,-4.26,0.4,-0.26,-2.14
201408,5.21,4,3.39,5.49,4.44
201409,-1.69,-4.4,-1.39,-0.22,-0.99
201410,2.97,0.81,1.3,5.88,3.36
201411,6.28,-1.9,3.97,2.51,2.72
201412,0.08,0.41,-1.38,-0.83,1.14
201501,-0.71,-3.06,-3.68,1.58,-6.2
201502,5.56,3.74,8.35,4.23,6.9
201503,-0.49,-1.87,-2.38,0.73,-0.75
201504,-1.06,1.66,1.83,-1.42,0.5
201505,1.15,-1.17,1.64,4.86,1.74
201506,-0.92,-3,-2.81,0.16,-0.3
201507,4.25,-3.14,2.32,3.52,2.06
201508,-4.99,-4.75,-6.37,-8.34,-6.14
201509,-1.49,-3.85,-1.66,-6.87,-3.06
201510,5.44,8.62,9.88,7.54,6.49
201511,0.33,-0.11,0.57,0.49,1.19
201512,0.14,-4.53,-2.69,0.32,-2.62
201601,-3.29,-3.38,-4.84,-9.97,-8.29
201602,0.54,1.35,-0.55,-0.95,-0.14
201603,5.79,8.03,7.85,3.94,7.05
201604,-0.15,3.48,-3.02,4.94,2.37
201605,0.72,-0.09,4.05,2.39,0.9
201606,1.74,2.67,-0.78,-0.09,-2.7
201607,2.46,1.2,6.65,6.12,3.51
201608,-1.01,0.36,0.72,-3.12,3.37
201609,-1.45,1.03,2.03,0.56,-1.25
201610,-2.52,-2.26,-1.43,-7.49,0.68
201611,1.49,5.22,1.63,2.4,11.34
201612,1.32,1.55,1.61,0.71,2.96
201701,1.37,0.66,4.31,2.02,0.93
201702,2.97,2.27,3.97,6.97,3.71
201703,0.79,-0.2,1.91,0.03,-1.69
201704,1.83,0.36,2.19,0.91,0.23
201705,2.02,0.35,3.12,-0.25,-0.45
201706,-1.2,0.32,-2.12,5.54,4.22
201707,-0.07,2.31,4.02,0.7,1.49
201708,-1.56,-0.73,2.01,2.58,-0.38
201709,1.69,4.61,0.23,2.05,4.36
201710,1.67,2.23,4.67,-2.27,2.08
201711,5.93,3.19,1.42,2.46,3.89
201712,2.03,1.57,0.62,-0.17,1.47
201801,6.3,2.53,7.01,6.37,5.95
201802,-5.3,-5.91,-1.18,-3.53,-3.31
201803,-2.29,0.11,-3.19,-2.42,-2.69
201804,1.06,1.32,-0.4,-0.04,0.47
201805,0.62,2.38,5.7,2.29,1.22
201806,3.31,0.14,0.57,1.49,-1.04
201807,2.72,3.32,2.33,5.99,3.97
201808,4.71,-0.79,6.73,4.4,2.46
201809,0.34,1.56,0.04,2.14,-1.21
201810,-6,-8.68,-7.68,-8.7,-6.62
201811,2.06,2.47,-0.96,6.46,3.02
201812,-9.87,-9.03,-8.19,-8.18,-10.62
201901,8.12,8.98,8.97,5.25,9.18
201902,1.19,4.23,5.32,3.23,2.71
201903,2.82,0.71,3.31,0.48,-1.32
201904,4.1,2.47,6,-3.13,6.66
201905,-6.31,-8.29,-7.75,-3.37,-6.3
201906,6.87,7.34,7.51,6.84,6.72
201907,1.16,-0.39,3.38,-2.19,1.64
201908,-0.63,-2.18,-2.33,-0.61,-4.47
201909,1.25,3.86,1.01,-0.94,2.01
201910,0.93,-0.84,3.06,4.73,3.04
201911,2.21,1.59,4.66,5.53,4.99
201912,2.26,3.04,3.37,3.45,2.4
202001,0.89,-3.16,2.63,-2.01,-1.37
202002,-7.4,-10.23,-6.8,-5.39,-9.84
202003,-9.84,-19.18,-10.17,-5,-18.87
202004,15.7,12.67,14.59,13.41,10.54
202005,4.31,4.66,7.87,4.05,3.88
202006,3.8,0.19,5.11,-1.52,-0.07
202007,9.33,3.38,6.75,4.43,3.83
202008,10.07,3.15,10,2.45,7.21
202009,-4.01,-2.24,-4.82,-1.48,-2.97
202010,-2.64,-0.03,-2.02,-4.42,-1.89
202011,11.44,12.91,11.17,9.52,15.76
202012,4.09,2.65,4.99,4.76,5.31
202101,0.67,-1.06,0.17,3.22,-2.85
202102,-1.97,5.95,1.91,-1.35,9.53
202103,5.19,7.2,0.82,0.13,5.62
202104,5.82,2.53,6.22,2.87,5.81
202105,-1.7,2.46,-0.87,0.01,2.94
202106,2.38,0.1,6.27,4.28,-2.46
202107,0.05,-0.04,3.01,3.04,-0.38
202108,1.66,0.75,4.43,2.81,2.51
202109,-3.36,-3.15,-6.17,-5.99,-2.32
202110,8.55,6.04,6.66,2.31,7.14
202111,0.4,-1.73,0.16,-4.29,-4.92
202112,1.53,5.88,1.86,6.72,4.96
202201,-7.49,-1.18,-7.89,-8.66,-2.88
202202,-2.26,0.61,-4.77,-1.01,-0.88
202203,4.2,4.48,2.72,5.13,1.52
202204,-8.5,-4.01,-12.5,-6.8,-8.95
202205,-4.27,4.34,-1.34,0.99,0.4
202206,-7.36,-10.59,-8.2,-2.05,-10.01
202207,13.93,8.46,10.53,2.75,8.76
202208,-3.29,-0.97,-5.01,-5.07,-2.82
202209,-7.62,-10.95,-11.61,-1.91,-7.91
202210,3.86,13.46,5.32,8.84,11.6
202211,2.46,6.24,4.99,5.46,6
202212,-9.36,-2.57,-7.77,-1.73,-5.27
202301,9.08,3.65,10.1,-1.02,7.08
202302,-1.99,-3.9,-0.75,-4.3,-2.6
202303,2.73,0.87,9.52,2.53,-4.6
202304,-0.11,0.71,0.38,4.08,2.06
202305,0.48,-6.73,6.95,-3.77,-2.73
202306,8.96,7.97,5.86,4.66,7.37
