,Cnsmr,Manuf,HiTec,Hlth ,Other
197011,6.15,5.16,4.81,2.97,3.76
197012,6.43,6.06,5.31,5.34,8.38
197101,5.44,3.68,7.03,4.92,7.78
197102,3.18,1.59,-0.27,1.31,2.24
197103,4.81,3.38,5.46,3.68,5.95
197104,5.33,2.96,1.84,4.23,4.34
197105,-3.16,-3.22,-5.81,-2.13,-4.53
197106,-0.12,1.2,-1.08,2.05,-1.33
197107,-3.69,-3.61,-6.94,-2.17,-3.87
197108,6.69,2.61,3.62,3.15,6.99
197109,0.2,-0.9,-0.95,0.66,-0.41
197110,-4.32,-4.25,-3.5,-2.47,-4.21
197111,0.02,-0.74,1.31,0.69,-0.28
197112,8.87,9.27,10.02,7.79,8.2
197201,2.18,1.74,5.93,2.63,3.34
197202,3.51,3.08,1.36,7.12,2.25
197203,2.14,-0.17,0.65,0.46,2.29
197204,0.23,0.54,0.2,1.1,1.79
197205,0.2,2.05,2.97,3.71,-0.64
197206,-2.68,-1.81,-2.58,2.54,-4.52
197207,-2.02,-0.01,0.89,3.1,-2.97
197208,1.1,5.5,3.54,1.05,3.54
197209,-1.37,-0.73,0.45,-0.43,-1.75
197210,-0.54,2.54,-1.61,1.5,1.13
197211,7.02,5.1,3.97,-0.53,5.11
197212,1.32,0.56,1.8,3.73,-0.77
197301,-5.2,-1.27,0.61,-1.18,-7.49
197302,-5.63,-3.81,-3.53,-0.71,-6.08
197303,-3.13,0.47,-0.68,0.78,-0.29
197304,-6.6,-2.83,-4.3,-5.48,-7.81
197305,-2.91,-1.63,-2.02,1.07,-5.03
197306,-3.9,-0.08,-0.15,0.02,-0.3
197307,8.55,3.37,3.12,6.87,9.61
197308,-3.78,-2.23,-3.76,-6.91,-2.27
197309,6.92,6.39,0.67,0.79,7.23
197310,-3.45,1.28,0.54,1.83,-1.09
197311,-16.39,-11.42,-8.27,-7.77,-13.47
197312,-1.88,3.93,-1.34,-4.48,2.49
197401,4.95,-1.69,1.52,-2.52,1.09
197402,-0.04,-0.43,1.31,-1.23,1.01
197403,-1.66,-1.99,-3.41,1.21,-3.61
197404,-3.25,-4.83,-4.25,-1.48,-6.39
197405,-0.48,-4.34,-3.28,-0.12,-8.41
197406,-1.96,-1.12,-1.76,-1.62,-5.5
197407,-11.55,-4.21,-8.14,-14.06,-6.64
197408,-10.08,-9.45,-3.08,-8.11,-10.63
197409,-12.38,-9.74,-11.9,-15.55,-9.6
197410,10.18,17.2,13.18,29.52,20.24
197411,-4.7,-4.53,-4.16,-1.2,-2.76
197412,-2.46,-2.2,-2.49,-3.37,-4.34
197501,21.77,12.43,13.5,-0.61,17.82
197502,4.59,5.07,9.83,16.04,2.85
197503,8.13,1.83,0.27,1.28,4.11
197504,3.2,7.24,2.98,0.72,3.29
197505,4.04,6.42,4.99,6.48,5.7
197506,7.44,5.38,2.95,0.91,5.95
197507,-5.07,-5.2,-7.45,-12.03,-6.13
197508,-2.36,-0.92,-3.21,-3.34,-5.12
