,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
19991208,0.29,-0.06,0.2,-0.28,-0.28,-0.35
19991209,-0.42,-0.6,-0.14,0.13,0.44,-0.2
19991210,0.44,0.33,0.19,0.19,0.36,0.1
19991213,0.56,0.35,0.54,0.02,0.02,-0.17
19991214,-1.18,-0.78,-1.15,-1.41,-0.93,-0.66
19991215,-0.95,-0.5,-1.22,-0.48,0.07,0.48
19991216,0.55,0.44,0.71,1.02,0.85,0.77
19991217,0.21,-0.18,-0.15,0.41,0.07,0.55
19991220,-0.21,-0.24,0.22,0.28,0.02,0.31
19991221,0.16,-0.13,-0.08,0.78,0.51,0.3
19991222,0.75,0.56,0.6,1.14,0.52,1.11
19991223,0.42,0.51,0.57,1.39,1.31,1.26
19991224,0,-0.17,0.01,-0.12,0.21,0.33
19991227,0.59,0.69,0.79,0.02,-0.01,0.03
19991228,0.23,0.19,0.12,0.04,0.4,0.49
19991229,1.24,0.74,0.71,0.63,0.67,0.51
19991230,0.69,0.62,0.9,0.51,0.5,0.57
19991231,0.82,0.65,0.66,0.5,0.27,-0.01
20000103,0.96,0.69,0.81,0.84,-0.45,0.37
20000104,-2.18,-1.94,-1.94,-2.98,-3.34,-3.33
20000105,-1.03,-0.84,-1.47,-1.58,-1.31,-1.75
20000106,-0.48,-0.59,-0.41,-1.24,-0.23,-1.63
20000107,1.61,1.2,1.03,2.08,2.21,2.21
20000110,1.56,1.09,1.36,2.01,0.86,1.2
20000111,-0.27,-0.01,0.16,-0.66,-0.59,0.48
20000112,-0.42,-0.39,-0.27,-0.96,-0.39,-0.54
20000113,1.19,0.74,1.11,1.52,0.96,0.41
20000114,0.88,0.28,0.51,0.73,0.53,0.93
20000117,1.24,0.94,1.15,0.45,0.4,0.96
20000118,0.98,0.23,-0.28,-0.83,-1.26,-0.92
20000119,0.37,0.15,0,0.04,0.04,-0.76
20000120,0.98,0.58,0.91,0.14,-0.42,-0.31
20000121,0.47,-0.02,0.1,0.1,-0.26,-0.59
20000124,-0.69,-0.6,0.2,-1.52,-1.27,-1.26
20000125,-0.64,-0.81,-1.38,-0.76,-0.44,-0.4
20000126,0.43,0.07,0.45,0.13,0.54,0.52
20000127,-0.53,-0.22,-0.38,0.24,-0.04,0.49
20000128,-1.99,-1.61,-1.24,-1.9,-2.29,-1.96
20000131,-1.06,-0.86,-0.85,0.07,0.38,0.41
20000201,0.86,0.6,0.7,0.56,0.78,1.1
20000202,1.29,0.94,0.85,1.02,1.16,0.16
20000203,1.91,1.43,1.36,2.81,1.15,1.7
20000204,0.96,0.41,0.33,0.19,-0.39,0.53
20000207,1.11,0.23,0.36,0.14,-0.33,-0.36
20000208,1.14,0.28,0.82,0.7,1.06,1.19
20000209,0.47,0.17,0.45,-0.49,-0.87,-0.38
20000210,0.66,-0.32,-0.54,0.37,-0.52,-0.39
20000211,0.33,0.15,0.31,-0.52,-0.59,-1.09
20000214,-0.13,0.05,-0.55,-0.48,-0.7,-0.43
20000215,-0.23,-0.15,-0.06,-0.29,-0.19,-0.11
20000216,1.13,0.32,-0.04,0.57,0.09,-0.39
20000217,1.6,0.33,0.46,0.61,0.35,0.69
20000218,-0.42,-0.75,-0.16,-1.38,-1.64,-1.94
20000221,-0.37,-0.46,-0.55,-0.86,-0.67,-0.59
20000222,-0.63,-0.19,0.28,-0.33,0.03,0.52
20000223,0.95,0.51,0.92,1.42,0.9,1.09
20000224,0.61,0.11,0.34,0.39,-0.6,-0.18
20000225,0.79,0.12,-0.13,-0.31,-0.32,0.21
20000228,-0.01,-0.1,-0.35,-0.52,0.72,-0.09
20000229,1.83,0.98,0.9,0.81,0.88,0.57
20000301,2.51,1.88,2.06,2.24,1.17,1.77
20000302,0.17,0.08,0.1,-0.36,-0.33,1.03
20000303,1.52,0.46,0.39,0.56,0.83,1.25
20000306,0.42,-0.16,0.06,-0.15,-0.4,-0.85
20000307,-1.04,-0.33,-0.33,-0.07,-0.74,-2.02
20000308,-0.28,-0.46,-0.42,0.11,-0.28,0.09
20000309,1.18,1.15,1.39,1.2,1.33,1.79
20000310,0.29,-0.03,0.68,-0.07,-0.1,-0.14
20000313,-2.14,-1.36,-2.1,-1.87,-1.56,-2.21
20000314,-2.2,-0.53,0.02,-1.62,-0.54,-0.3
20000315,-2.43,-1.32,-1.46,-1.19,0.88,0.62
20000316,0.57,1.41,0.6,3.09,4.24,2.95
20000317,0.89,0.76,1.04,0.87,0.52,0.74
20000320,-2.25,-0.23,0.19,-1.21,-0.1,0.33
20000321,-1.25,-0.65,-1.47,1.15,0.97,0.58
20000322,1.77,0.79,0.41,1.1,0.41,0.21
20000323,0.31,0.17,0,-0.05,0.96,1.37
20000324,0.25,0.6,0.67,0.84,1.04,0.47
20000327,0.09,-0.1,-0.04,0.1,-0.49,-0.29
20000328,-0.9,-0.72,-0.13,-0.4,-0.28,-0.15
20000329,-1.6,-0.64,-0.5,-0.76,-0.07,0.25
20000330,-2.41,-0.98,-1.38,-1.32,-1.17,-1.89
20000331,1.34,0.86,0.41,1.35,0.99,0.77
20000403,-3.36,-1.76,-1.4,-2.22,0.22,-1.2
20000404,-2.52,-1.13,-2.19,-0.74,-0.51,-0.58
20000405,0.01,-0.24,-1.19,-0.56,-0.68,-0.97
20000406,2.39,1.29,1.95,1.14,0.78,0.7
20000407,1.76,0.98,1.08,1.06,0.5,1.36
20000410,-2.08,-0.78,0.12,-1.42,0.17,-0.04
20000411,-2.49,-1.28,-1.6,-1.73,-0.57,-1.38
20000412,-2.18,-0.49,-0.34,-1.12,-0.76,-1.4
20000413,-1.58,-1.02,-1.52,-1.19,-1.46,-1.78
20000414,-4.25,-2.53,-2.27,-3.51,-3.67,-3.96
20000417,-2.83,-2.57,-3.92,-1.22,-0.21,0.38
20000418,3.45,1.92,1.62,2.55,1.64,2.78
20000419,0.85,0.67,1.4,0.18,0.02,-0.2
20000420,-0.2,0.23,0.37,-0.24,0.9,0.04
20000421,-0.14,-0.05,0.27,-0.25,0.06,0.36
20000424,-1.33,-0.42,-0.22,-0.61,0.27,-0.15
20000425,1.11,0.64,0.31,2.14,1.82,1.4
20000426,-0.03,0.3,0.8,0.01,-0.16,-0.37
20000427,0.06,0.09,-0.79,0.09,-0.79,-0.54
20000428,1.22,0.45,0.69,1.14,-0.34,0.01
20000501,1.72,1.12,1.06,1.11,1.02,1.03
20000502,-0.3,-0.09,0.39,-0.96,-0.1,-0.5
20000503,-1.56,-1.24,-1.23,-1.97,-2.18,-1.94
20000504,0.58,0.29,-0.02,0.51,-0.06,-0.5
20000505,1.31,0.99,0.66,0.73,0.9,1.23
20000508,-0.89,-0.65,-0.61,-1.09,-0.14,-1.02
20000509,-1.19,-0.4,-0.3,-1.03,-0.56,-1.28
20000510,-2.11,-1.5,-1.52,-1.88,-1.45,-2.41
20000511,0.79,0.83,-0.17,0.69,0.7,1.05
20000512,1.37,1.22,2.04,1.65,1.64,1.66
20000515,0.18,0.32,-0.32,0.69,0.76,0.26
20000516,0.78,0.54,0.34,1.45,0.61,1.27
20000517,-0.62,-0.53,-0.69,-1.32,-1.27,-1.34
20000518,-0.79,-0.55,-0.54,-1.23,0.08,-1.19
20000519,-1.07,-0.78,-1.32,-2,-1.59,-2.3
20000522,-1.98,-1.23,-1.65,-1.35,-0.79,-1.53
20000523,-1.49,-0.64,-0.74,-1.36,-0.62,-0.83
20000524,-1.2,-1.16,-1.64,-0.02,-0.08,0.73
20000525,0.25,0.44,1.06,0.55,-0.12,0.36
20000526,0.23,0.43,0.55,0.5,0.01,0.43
20000529,0.25,0.13,0.35,0.28,0.18,0.29
20000530,2.19,1.49,1.38,2.55,1.98,2.54
20000531,0.54,0.42,0.9,-0.1,0.64,-0.05
20000601,1.49,0.75,0.5,1.86,1.58,1.4
20000602,3.13,2.07,2.42,3.75,2.67,2.29
20000605,1.29,0.46,0.81,0.39,-0.29,0.06
20000606,0.75,0.13,0.46,-0.36,-0.14,-0.24
20000607,0.81,0.66,0.17,0.87,0.61,0.52
20000608,-0.05,-0.06,-0.12,-0.35,-0.63,-0.56
20000609,0.96,0.24,0.1,0.05,-0.31,-0.43
20000612,-0.69,-0.19,-0.13,-0.74,-0.43,-0.38
20000613,0.08,0.27,-0.27,0.52,0.6,0.82
20000614,-0.04,-0.04,0.04,-0.3,-0.04,0.25
20000615,-0.26,-0.17,-0.17,-0.15,-0.54,-0.02
20000616,0.43,0.25,0.41,0.51,-0.4,-0.41
20000619,0.61,-0.04,-0.25,1.07,0.51,1.11
20000620,0.55,0.24,0.24,0.67,0.2,0.16
20000621,0.09,-0.13,-0.85,-0.17,-0.41,-0.09
20000622,-0.85,-0.73,-0.4,-1.67,-1.11,-1.28
20000623,-0.42,-0.44,-0.64,-1.21,-0.47,-0.73
20000626,0.37,0.38,0.23,-0.18,0.34,0.4
20000627,0.07,0.52,0.81,0.18,0.33,0.05
20000628,0.92,0.73,0.32,0.59,0.11,0.23
20000629,0.03,0.13,0.33,-0.14,-0.51,-0.78
20000630,0.92,0.41,0.23,0.27,0.17,0.99
20000703,0.8,0.99,0.76,0.68,1.01,1.01
20000704,-0.02,0.06,0.1,0.07,0.06,-0.02
20000705,-0.61,-0.49,-0.19,-1.62,-1.03,-1.07
20000706,-0.16,0.07,-0.09,0.25,0.56,0.05
20000707,0.38,0.39,0.28,0.83,1.52,1.19
20000710,0.77,0.72,0.78,0.09,0.29,0.39
20000711,-0.1,-0.01,0.06,-0.11,0.2,-0.11
20000712,0.38,0.06,-0.27,1.23,0.26,0.26
20000713,-0.19,-0.16,-0.28,0.5,0.38,-0.45
20000714,0.66,0.35,0.47,1.45,0.81,0.48
20000717,0.71,0.06,0.13,0.12,-0.1,0.35
20000718,-1.4,-0.98,-0.87,-1.92,-1.61,-1.31
20000719,-0.86,-0.52,-0.47,-1.2,-0.49,-0.64
20000720,1.06,0.88,0.91,2.23,1.11,0.98
20000721,-1.23,-0.66,-0.42,-1.13,-1.33,-1.02
20000724,-1.23,-0.87,-0.68,-1.84,-0.83,-0.62
20000725,-0.27,0.14,0.03,0.21,0.77,-0.12
20000726,-0.3,0.05,-0.02,-0.38,-0.63,-0.79
20000727,-2.02,-1.03,-1.13,-2.44,-1.21,-0.92
20000728,-2.01,-1.33,-1.37,-2.84,-2.03,-1.61
20000731,0.16,0.43,0.31,1.16,0.99,0.67
20000801,-0.39,-0.02,-0.26,-0.2,-0.41,0.54
20000802,-0.04,0.23,0.24,0.23,0.24,0.09
20000803,-0.84,-0.45,-0.6,0.52,-0.12,-0.33
20000804,0.65,0.55,0.53,1.1,0.8,0.43
20000807,0.36,0.56,0.51,1.52,1.36,0.7
20000808,-0.32,-0.14,0.04,-0.17,0.01,0.06
20000809,0.15,0.24,0.29,0.47,0.35,-0.35
20000810,-0.47,-0.08,0.08,-0.8,-0.67,-0.04
20000811,0.6,0.78,0.74,0.37,0.4,0.4
20000814,0.53,0.5,0.48,0.86,1.22,0.78
20000815,0.45,0.12,0.27,0.62,-0.01,0
20000816,0.62,0.4,0.4,0.56,0.21,-0.09
20000817,0.13,0.13,0.04,0.49,0.54,0.17
20000818,0.06,-0.15,-0.42,-0.42,-0.2,-0.44
20000821,-0.04,-0.17,-0.15,-0.14,-0.18,0.09
20000822,0.39,0.08,-0.04,0.58,0.14,-0.01
20000823,0.48,0.08,0.11,0.96,0.5,0.54
20000824,0.87,0.39,0.21,0.42,-0.11,0.38
20000825,0.43,0.22,0.48,0.21,0.1,0.35
20000828,0.08,0.03,-0.04,0.19,0.28,0.72
20000829,0.14,0.01,-0.04,-0.39,-0.29,-0.34
20000830,0.29,0.12,0.26,0.24,-0.19,-0.6
20000831,0.8,0.32,0.41,0.83,0.43,0.41
20000901,1,0.92,1.01,1.45,1.12,1.21
20000904,0.18,0.13,0.14,-0.03,0.19,0.27
20000905,-0.64,-0.46,-0.36,-1.3,-0.96,-1.08
20000906,-1.14,-0.58,-0.85,-2.05,-1.19,-1.58
20000907,0.54,0.54,0.33,0.32,0.67,0.68
20000908,-0.73,-0.52,-0.48,-1.58,-0.99,-0.61
20000911,-1.24,-0.7,-0.75,-1.39,-0.54,-0.95
20000912,-0.58,-0.35,-0.25,-0.69,-0.48,-0.16
20000913,-0.25,-0.18,-0.45,0.14,-0.03,-0.31
20000914,0.73,0.58,0.46,0.78,0.42,0.02
20000915,-0.9,-0.69,-0.76,-1.33,-0.55,-1.55
20000918,-1.72,-1.15,-1.12,-1.88,-1.38,-0.78
20000919,0.22,-0.07,-0.67,1.07,0.54,0.59
20000920,-0.14,0.07,-0.11,-0.36,-0.72,0
20000921,-0.71,-0.5,-0.23,-1.03,-0.74,0.14
20000922,-0.41,-0.22,-0.12,0.6,0.25,-0.39
20000925,0.29,0.17,0.4,0.73,0.03,0.03
20000926,-0.54,-0.08,-0.24,-0.49,-0.39,-0.56
20000927,-0.63,-0.21,-0.41,-0.48,0.28,-0.34
20000928,0.47,0.62,0.41,1.2,1.05,0.79
20000929,0.6,0.53,0.71,-0.36,-0.52,-0.28
20001002,-1.28,-0.74,-0.8,-1.12,0.08,0.19
20001003,-0.82,-0.33,-0.17,-1.3,0.06,-0.57
20001004,-0.36,-0.23,-0.32,0.75,0.15,0.01
20001005,-0.75,-0.56,-0.42,-1.13,-0.16,0.41
20001006,-1.26,-0.83,-0.55,-1.92,-1.63,-1
20001009,-1.15,-0.41,-0.64,-0.06,-0.83,-1.01
20001010,-0.71,-0.68,-0.33,-0.98,-0.47,-0.69
20001011,-2.06,-1.31,-1.51,-2.54,-1.7,-1.9
20001012,-1.44,-1.11,-1.07,-2.09,-1.79,-1.34
20001013,0.48,0.37,-0.22,2.21,1.76,1.88
20001016,0.45,0.17,0.24,0.5,0.17,0.2
20001017,-1.16,-1.05,-0.7,-1.85,-1.61,-0.95
20001018,-2.14,-1.23,-1.64,-1.86,-1.64,-1.12
20001019,1.79,1.18,1.34,2.86,3.15,2.21
20001020,1.38,0.82,0.93,2.26,0.69,0.7
20001023,0.19,-0.12,-0.18,-0.03,0.01,-0.08
20001024,0.09,0.17,0.46,-0.23,0.45,0.99
20001025,-2.09,-1.25,-1.59,-3.08,-2.95,-0.98
20001026,0.01,0.28,0.18,-0.21,-0.32,0.06
20001027,0.13,0.6,0.72,0.84,0.75,1.34
20001030,-0.53,0.5,0.33,-0.83,0.62,0.63
20001031,1.48,1.5,1.28,3.33,2.32,1.11
20001101,1.14,0.78,0.85,1.45,0.38,0.51
20001102,0.9,0.78,0.55,1.29,0.3,0.17
20001103,0.96,0.71,0.63,0.38,0.5,0.27
20001106,-0.11,-0.07,-0.15,-0.23,0.28,0.32
20001107,-0.1,0.2,0.25,-0.04,0.02,-0.09
20001108,-0.9,-0.28,-0.29,-2.1,-1.42,-0.96
20001109,-0.89,-0.17,-0.29,-1.62,-0.57,-0.51
20001110,-1.93,-1.46,-1.45,-2.22,-2.03,-2.34
20001113,-2.09,-0.68,-0.91,-2.17,-1.09,-1.59
20001114,1.39,0.71,0.83,2.52,1.86,2.1
20001115,0.08,0.26,0.27,0.67,0.37,0.57
20001116,-1.34,-0.89,-0.82,-1.98,-1.17,-1.24
20001117,-0.48,0,-0.04,-0.92,-0.52,-0.35
20001120,-1.86,-1.01,-0.78,-3.03,-1.38,-1.83
20001121,-1.18,-0.6,-0.91,-1.05,0.01,0.07
20001122,-1.75,-0.78,-0.98,-2.48,-1.91,-1.65
20001123,-0.28,-0.27,-0.48,0.05,0.05,0.09
20001124,1.49,1.07,0.83,2.23,1.24,1.03
20001127,1.04,0.73,1.37,0.85,1.1,1.31
20001128,-1.52,-0.72,-0.87,-2.38,-0.86,-0.87
20001129,-1.34,-0.5,-0.57,-1.33,0.04,0.05
20001130,-0.84,-0.23,-0.15,-0.7,-0.76,-1.18
20001201,1.74,1.38,1.42,2.01,0.92,0.2
20001204,-0.41,0.03,-0.06,-0.51,0.04,0.6
20001205,1.33,1.17,0.78,3.51,2.72,2.47
20001206,0.71,0.2,0.64,0.09,-0.04,-0.81
20001207,-0.84,-0.32,-0.6,-0.91,-0.65,-0.74
20001208,1.57,1.46,1.23,3.05,1.79,0.87
20001211,0.91,0.51,0.17,1.82,0.65,0.91
20001212,-0.71,-0.72,-0.67,-1.19,-0.63,-0.49
20001213,-1.01,-0.7,-0.61,-1.31,-1.23,-0.44
20001214,-0.45,-0.28,0,-1.57,-0.91,-1.08
20001215,-1.19,-0.69,-0.86,-1.2,-1.52,-2.18
20001218,-0.43,0.51,0.31,-0.21,0.52,0.67
20001219,-1.34,-0.7,-0.72,-1.42,-0.43,-0.9
20001220,-2.14,-1.3,-1.25,-3.43,-2.36,-2.57
20001221,-0.69,0.11,-0.13,-0.67,0.51,-0.27
20001222,1.84,1.68,1.49,2.87,1.92,1.58
20001225,0.59,0.44,0.42,0.52,0.38,0.38
20001226,-0.02,0.52,0.5,0.14,0.42,0.46
20001227,0.74,1.24,1.37,1.26,1.41,0.73
20001228,1.09,1.27,1.26,1.03,0.51,0.18
20001229,0.49,-0.12,0.42,-0.36,-0.44,-0.23
20010101,0.03,0.02,0.03,0.02,0.02,0.02
20010102,-1.1,-1.29,-0.94,-2.74,-1.62,-1.95
20010103,0.12,0.64,0.08,2.31,1.98,1.61
20010104,0.44,0.26,0.63,0.46,0.45,0.24
20010105,-0.84,-0.84,-0.51,-2.12,-1.58,-0.96
20010108,-0.98,-0.54,-0.59,-0.71,-0.52,-0.69
20010109,-0.44,-0.37,-0.49,-0.02,-1.01,-0.1
20010110,0.32,0.58,0.23,0.92,0.13,0.15
20010111,1.41,0.58,0.74,1.6,1.19,0.99
20010112,0.82,0.14,0.34,0.27,-0.14,-0.17
20010115,-0.04,-0.16,-0.15,-0.01,-0.1,-0.19
20010116,1.31,0.72,0.92,0.17,0.07,0.42
20010117,0.25,-0.08,0.11,1.21,0.63,0.44
20010118,1.16,0.66,0.62,1.46,0.77,1.49
20010119,0.11,-0.22,-0.3,-0.46,-0.73,-0.15
20010122,0.39,0.33,1.02,0.19,0.7,-0.13
20010123,0.6,0.71,-0.1,1.2,0.57,0.32
20010124,-0.29,-0.45,-0.48,0.06,-0.1,-0.02
20010125,-0.03,0.26,0.42,-0.94,-0.1,0.04
20010126,-0.23,-0.07,-0.2,-0.12,-0.36,-0.09
20010129,0.61,0.72,0.59,0.65,0.5,0.3
20010130,1.11,0.68,0.79,0.8,0.77,0.69
20010131,0.22,0.34,0.66,-0.49,0.41,-0.27
20010201,0.12,0.7,0.49,-0.03,-0.09,0.52
20010202,-0.79,-0.36,-0.25,-1.85,-1.17,-1.49
20010205,-0.42,0.03,0.04,-0.43,0.04,0.05
20010206,0.14,0.12,0.22,0.1,-0.27,-0.01
20010207,-0.74,-0.11,-0.03,-1.07,-1.17,-0.77
20010208,-0.77,-0.75,-0.72,-1.02,-0.94,-0.78
20010209,-0.48,-0.18,-0.17,-0.74,-0.54,-1.31
20010212,0.66,0.9,0.93,0.55,1.11,1.27
20010213,-0.24,-0.21,-0.22,-0.77,-0.8,-0.97
20010214,-0.26,-0.12,-0.18,-0.04,-0.41,-0.79
20010215,0.39,0.34,0.18,0.5,0.36,0.72
20010216,-0.79,-0.51,-0.35,-1.74,-1.47,-1.42
20010219,0.07,0.11,0.05,-0.05,0.12,-0.19
20010220,-0.67,-0.65,-0.57,-1.68,-1.67,-1.03
20010221,-1.39,-1.17,-1.04,-1.16,-1.81,-1.35
20010222,-1.19,-0.94,-0.94,-1.13,-0.41,-0.47
20010223,0.77,0.66,0.62,0.7,-0.13,-0.19
20010226,0.72,0.73,0.78,1.43,0.88,1.18
20010227,-0.22,-0.26,-0.15,-1.13,-0.3,-0.25
20010228,-0.86,-0.41,-0.54,-0.7,-0.84,-1.07
20010301,-0.66,-0.18,-0.34,-0.16,-0.29,-0.18
20010302,-0.11,0.27,0.15,-1.03,-0.15,-0.9
20010305,-0.27,-0.25,-0.33,0,0.47,0.43
20010306,1.53,0.97,1.19,1.93,1.37,1.51
20010307,-0.04,0.2,0.13,0.06,0.61,0.03
20010308,0.12,0.16,0.26,-0.46,-0.09,0.07
20010309,-0.81,-0.52,-0.49,-1.66,-1.66,-1.83
20010312,-2.64,-1.93,-1.97,-3.87,-3.36,-3.8
20010313,-0.99,-0.81,-1.4,-1.15,-0.3,0.21
20010314,-2.01,-1.59,-1.71,-2.71,-2.33,-2.15
20010315,-0.7,-0.52,-0.65,-0.09,0.62,0.28
20010316,-1.14,-0.88,-0.89,-1.93,-1.78,-1.6
20010319,0.39,0.61,0.55,0.78,0.98,0.88
20010320,0.1,-0.05,0.32,-0.31,-0.31,-0.95
20010321,-1.27,-1.19,-1.42,-1.33,-1.21,-1.53
20010322,-1.68,-1.38,-1.94,-2.19,-2.19,-1.32
20010323,1.63,1.32,1.38,2.16,1.67,2.44
20010326,1.93,1.37,1.69,2.5,2.52,2.16
20010327,0.55,0.47,0.73,1.57,1.58,2.06
20010328,-0.97,-0.86,-0.78,-2.31,-1.92,-1.74
20010329,-1.1,-0.57,-0.68,-1.44,-1.06,-1.06
20010330,0.14,0.53,0.07,0.34,0.46,0.06
20010402,-1.39,-0.88,-0.73,-1.68,-0.75,-0.95
20010403,-0.66,-0.43,-0.64,-2.29,-1.65,-2.18
20010404,-0.22,-0.14,0.07,0,-0.03,0.45
20010405,2.32,2.16,1.82,3.89,2.92,3.45
20010406,-0.14,-0.49,-0.23,-1.05,-0.92,-0.9
20010409,-0.39,0.03,-0.04,-0.03,0.2,0.2
20010410,1.01,1,0.83,1.75,1.94,1.83
20010411,0.37,0.04,0.01,1,0.32,0.12
20010412,1.25,0.92,0.69,1.71,0.94,1.33
20010413,-0.19,-0.15,-0.17,-0.25,-0.21,-0.17
20010416,-0.11,-0.16,-0.06,-0.48,-0.35,-0.23
20010417,0.17,0.23,0.2,0.23,-0.1,0.51
20010418,2,1.35,1.64,3.75,3.34,3.76
20010419,1.63,1.39,1.32,2.06,1.3,1.72
20010420,-0.33,-0.46,-0.39,-0.75,-0.82,-0.82
20010423,-0.42,-0.37,-0.31,-1.88,-1.07,-1.19
20010424,0.02,0.26,0.18,-0.96,-0.49,-0.93
20010425,0.95,1.04,1.04,1.14,0.9,1.19
20010426,0.77,0.83,0.91,1.14,0.54,0.63
20010427,0.03,0.3,0.17,0.57,0.88,0.96
20010430,0.68,0.26,0.26,1.19,0.25,-0.09
20010501,1.25,1.13,1.21,1.5,1.14,1.44
20010502,0.49,0.49,0.51,0.58,-0.02,0.49
20010503,-0.72,-0.55,-0.49,-1.9,-1.36,-1.52
20010504,0.51,0.72,0.49,0.83,0.89,1.21
20010507,0,-0.09,0.05,-0.07,-0.03,0.33
20010508,-0.26,0.03,-0.21,-0.45,-0.33,-0.61
20010509,-0.4,-0.26,-0.23,-0.63,-0.55,-0.66
20010510,0.11,0.13,0.16,-0.09,0.45,0.03
20010511,-0.38,-0.23,-0.26,-0.61,-0.67,-0.96
20010514,-0.62,-0.23,-0.17,-1.1,-0.55,-0.47
20010515,0.45,0.65,0.46,0.55,0.8,0.56
20010516,0.46,0.67,0.7,1.23,1.35,1.88
20010517,1.34,0.94,1.15,1.42,0.87,0.69
20010518,0.34,0.16,0.15,0.42,0.37,-0.11
20010521,1,0.85,0.76,1.54,1.32,1
20010522,-0.12,-0.02,-0.26,-0.3,-0.11,-0.43
20010523,-0.33,-0.74,-0.65,-1.41,-1.19,-1.21
20010524,0.22,0.32,-0.03,0.29,0.3,0.02
20010525,0.17,-0.06,0.17,-0.66,-0.72,-0.85
20010528,-0.23,-0.13,-0.17,-0.16,-0.02,-0.14
20010529,-0.53,-0.44,-0.44,-1.16,-0.68,-0.54
20010530,-1.26,-0.77,-0.71,-2.06,-1.34,-1.61
20010531,-0.09,-0.2,-0.34,0.36,0.03,-0.09
20010601,0.47,0.55,0.39,0.36,0.13,0.45
20010604,0.44,0.46,0.54,0.43,0.44,0.35
20010605,0.73,0.69,0.73,1.31,1.21,1.15
20010606,-0.56,-0.54,-0.59,-0.9,-0.98,-0.86
20010607,0.4,0.35,0.32,0.36,0.53,0.46
20010608,-0.21,-0.19,0.03,-0.62,-0.62,-0.73
20010611,-0.87,-0.66,-0.77,-1.35,-1.17,-1.26
20010612,-0.59,-0.22,-0.22,-0.5,-0.35,-0.63
20010613,0.16,0.15,0.24,-0.42,-0.31,-0.38
20010614,-0.79,-0.73,-0.83,-1.6,-1.24,-0.91
20010615,-0.87,-0.53,-0.74,-0.84,-0.62,-0.94
20010618,-0.78,-0.47,-0.36,-1.33,-0.51,-0.55
20010619,-0.47,-0.36,-0.34,-0.36,0.01,0.18
20010620,-0.31,0.15,-0.13,0.63,0.07,0.59
20010621,0.35,0.44,0.35,0.56,1.04,0.66
20010622,0.22,-0.35,-0.44,0.24,-0.04,-0.48
20010625,0.06,-0.22,-0.11,-0.22,-0.19,-0.49
20010626,0.46,0.58,0.31,-0.08,-0.54,-0.24
20010627,-0.1,0.12,0.07,-0.17,-0.45,-0.48
20010628,-0.33,-0.15,-0.13,0.18,0.17,0.78
20010629,1.93,1.49,1.37,1.82,0.97,0.17
20010702,-1.56,-0.93,-0.8,0.68,0.46,0.89
20010703,-0.32,-0.09,-0.05,-0.48,-0.32,-0.32
20010704,-0.44,-0.35,-0.37,-0.58,-0.35,-0.32
20010705,-1.31,-0.84,-0.78,-2.04,-1.27,-1.09
20010706,-1.29,-0.78,-0.77,-1.78,-2,-1.55
20010709,-0.25,-0.23,-0.56,0.48,0.15,0.3
20010710,-0.53,-0.04,-0.02,-0.77,-0.68,-0.68
20010711,-0.74,-0.33,-0.55,-1.02,-0.35,-0.37
20010712,1.53,1.21,1.38,1.76,2.2,1.46
20010713,-0.05,0.08,0.09,0.44,0.23,0.45
20010716,-0.98,-0.58,-0.5,-1.69,-0.66,-0.86
20010717,0.4,0.34,0.2,0.03,0.5,0.58
20010718,-0.34,0.03,-0.01,-1.23,-0.16,-0.06
20010719,0.4,0.38,0.31,0.17,0.74,0.76
20010720,-0.18,0.06,0,-0.43,-0.8,-0.06
20010723,-1.06,-1.07,-0.95,-0.99,-1.14,-1.52
20010724,-0.81,-0.4,-0.26,-1.31,-0.99,-0.83
20010725,0.23,0.41,0.51,0.63,0.65,0.98
20010726,0.61,0.46,0.31,1.33,0.62,0.52
20010727,0.34,0.25,0.33,1.15,0.47,0.44
20010730,-0.68,-0.46,-0.61,-0.13,-0.04,-0.11
20010731,0.44,0.41,0.52,0.82,0.77,0.99
20010801,1.06,1.02,1,1.04,0.8,0.61
20010802,0.69,0.8,0.79,0.66,0.8,0.42
20010803,-0.43,-0.3,-0.36,-0.72,-0.55,-0.57
20010806,-0.78,-0.62,-0.64,-0.74,-0.65,-0.85
20010807,-0.3,-0.18,-0.29,-0.38,0.13,0.32
20010808,-0.95,-0.54,-0.45,-1.75,-1.14,-1.19
20010809,-0.18,0.31,0.13,-0.47,-0.33,-0.32
20010810,-0.05,0.15,0.06,-0.28,0.02,0.23
20010813,-0.07,-0.09,0.06,0.24,0.04,0.16
20010814,0.88,0.81,1.08,0.56,0.94,0.68
20010815,0.36,0.94,0.89,-0.53,0.01,0
20010816,-0.41,-0.31,-0.42,-0.78,-0.54,-0.46
20010817,-0.55,-0.14,-0.17,-1.21,-1.16,-1.2
20010820,-0.49,-0.45,-0.6,-0.25,0.02,0.23
20010821,-0.13,0.19,0.1,0.17,-0.11,-0.19
20010822,0.13,0.08,-0.14,-0.08,0.17,0.38
20010823,-0.22,-0.23,-0.01,0.03,-0.36,-0.15
20010824,0.74,0.43,0.46,1.99,1.2,1.33
20010827,-0.01,-0.04,0.02,-0.02,-0.16,-0.18
20010828,-0.53,-0.36,-0.35,-1.25,-0.98,-1.32
20010829,-0.74,-0.49,-0.57,-1.08,-0.86,-1
