,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
19901119,0.34,0.38,0.34,0.87,1.17,1.43
19901120,-0.35,-0.27,-0.31,-1.07,-0.63,-0.81
19901121,-0.43,-0.23,-0.33,-0.52,-0.16,-0.42
19901122,0.17,0.36,0.25,1.08,0.83,1.37
19901123,-0.07,-0.42,0.04,0.06,-0.02,-0.04
19901126,-0.39,0.07,-0.22,-0.39,-0.43,-0.2
19901127,0.37,0.52,0.42,0.27,0.16,0.12
19901128,-0.64,-0.64,-0.76,-1.67,-1.37,-1.48
19901129,-1.31,-1.26,-1.04,-2.03,-1.79,-1.91
19901130,-0.24,-0.81,-0.12,-0.13,0.15,0.23
19901203,0.03,0.05,-0.17,0.41,0.32,0.39
19901204,-0.03,0,0.28,-0.71,-0.54,-0.7
19901205,0.08,0.34,0.25,0.79,0.61,0.91
19901206,0.94,1.08,0.98,1.53,1.65,1.99
19901207,1.5,1.16,1.16,2.44,1.92,2.47
19901210,0.31,0.27,0.36,0.41,0.15,0.18
19901211,-0.52,-0.27,-0.31,-0.22,-0.32,-0.13
19901212,0.52,0.33,0.44,0.45,0.48,0.84
19901213,0.22,0.14,0.21,0.74,0.6,0.81
19901214,-0.44,-0.59,-0.35,-1,-0.91,-0.8
19901217,-0.87,-0.83,-0.8,-1.31,-0.95,-1.18
19901218,0,0.05,0.01,0.34,0.61,0.89
19901219,0.07,0.12,0.15,0.22,0.54,0.45
19901220,-1.18,-1.18,-1.41,-1.69,-1.55,-1.56
19901221,-0.8,-0.92,-0.86,-1.17,-0.86,-1.01
19901224,-0.53,-0.55,-0.65,-0.6,-0.47,-0.58
19901225,-0.24,-0.15,-0.17,-0.67,-0.61,-1.06
19901226,0.08,0.16,0.28,0.23,0.15,0.37
19901227,-0.01,0.12,-0.01,-0.18,0,0.02
19901228,0.89,0.86,1.15,0.63,0.76,0.63
19901231,0.59,0.37,0.37,-0.06,-0.03,0.04
19910101,0.07,0.07,0.06,0.16,0.16,0.2
19910102,0.13,0.01,-0.07,-0.12,-0.2,-0.36
19910103,-0.31,-0.35,-0.42,0.02,-0.03,-0.09
19910104,-0.52,-0.65,-0.52,-0.48,-0.77,-0.36
19910107,-1.65,-1.64,-1.76,-2.16,-1.96,-2.27
19910108,-0.92,-1.04,-0.88,-1.39,-1.21,-1.36
19910109,-0.03,0.14,0.16,0.96,0.65,0.64
19910110,-0.32,-0.33,-0.36,-0.2,-0.06,0.42
19910111,-0.07,-0.01,-0.11,0.37,0.22,0.57
19910114,-1.39,-1.39,-1.41,-1.33,-1.04,-0.97
19910115,-0.37,-0.32,-0.38,-0.36,-0.22,-0.17
