,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
20150713,1.03,0.72,1.12,1.38,0.91,1.08
20150714,0.68,0.4,0.55,0.81,0.45,0.29
20150715,-0.8,-0.89,-1.05,-0.43,-0.62,-0.5
20150716,0.36,0.4,0.27,0.71,0.52,0.49
20150717,-0.36,-0.41,-0.84,-0.38,-0.71,-0.44
20150720,-1.54,-0.89,-0.99,-0.51,-0.17,-0.18
20150721,-0.2,-0.2,-0.13,-0.32,-0.58,-0.58
20150722,-0.21,0.14,-0.31,0.11,0.1,0
20150723,-0.68,-0.89,-1.19,-0.51,-0.37,-0.54
20150724,-1.52,-1.17,-1.62,-0.64,-1.18,-1.21
20150727,-1.17,-0.73,-1.32,-1.37,-0.87,-0.78
20150728,0.47,0.51,0.95,1.42,1.23,1.39
20150729,0.24,0.48,1.54,0.24,1.14,1.08
20150730,0.05,0.32,-0.07,0.19,0.19,0.22
20150731,0.33,0.31,0.36,-0.05,0.05,0.18
20150803,-0.85,-0.63,-1.11,-0.78,-0.5,-0.41
20150804,-0.07,-0.2,-0.21,0.17,-0.15,0.14
20150805,-0.02,0.35,-0.03,0.53,0.43,0.42
20150806,-1.15,-0.4,-0.42,-1.44,-0.59,-0.98
20150807,-0.67,-0.77,-0.71,-0.54,-0.22,-0.35
20150810,1.19,1.37,1.93,1.73,1.72,1.47
20150811,-0.91,-0.73,-1.01,-1.01,-1.12,-1.01
20150812,0.49,0.04,-0.23,0.17,0.02,0.05
20150813,-0.35,-0.52,-0.56,-0.31,-0.18,-0.18
20150814,0.15,0.7,0.5,0.5,0.57,0.43
20150817,0.63,0.23,0.4,1.06,0.6,0.74
20150818,-0.88,-0.52,-0.7,-0.64,-0.44,-0.28
20150819,-0.83,-0.73,-1.15,-1.03,-1.01,-0.9
20150820,-2.26,-1.82,-2.44,-3.36,-2.28,-2.17
20150821,-0.76,-0.95,-1.83,-2.21,-2.42,-2.66
20150824,-3.53,-3.19,-3.82,-4.32,-4,-3.62
20150825,0.42,-0.67,-0.17,-0.72,-1.1,-1.04
20150826,1.48,1.96,1.98,2.93,2.99,2.89
20150827,2.08,1.71,2.25,3.03,2.82,2.33
20150828,1.55,0.91,1.7,0.7,0.39,0.44
20150831,0.93,0.64,0.88,-0.79,-0.41,-0.6
20150901,-1.58,-2.25,-2.65,-2.96,-3.06,-2.74
20150902,0.83,0.95,1.23,1.87,1.31,1.78
20150903,-0.15,0.21,0.3,0.19,0.41,0.52
20150904,-0.02,-0.57,-0.4,-1.23,-1.37,-1.24
20150908,1.48,1.35,1.71,2.65,2.61,2.38
20150909,-0.79,-0.9,-1.03,-1.22,-1.27,-1.11
20150910,0.47,0.2,0.26,0.59,0.21,0.16
20150911,0.14,0.01,-0.17,0.36,0.32,0.3
20150914,-0.59,-0.39,-0.79,-0.5,-0.42,-0.59
20150915,0.73,0.92,1.2,1.33,1.19,1.13
20150916,0.71,0.94,1.32,0.83,1.1,1.09
20150917,0.86,0,0.44,0.04,-0.31,-0.14
20150918,1.14,-0.61,-0.38,-1.44,-1.84,-1.86
20150921,-1.08,-0.07,-0.66,-0.56,0.41,0.31
20150922,-1.63,-1.07,-1.62,-1.97,-1.35,-1.48
20150923,-0.58,-0.44,-1.14,-0.85,-0.35,-0.61
20150924,-0.18,0.2,-0.11,-0.41,-0.35,-0.58
20150925,-2.47,-0.77,-1.58,-1.09,-0.18,-0.12
20150928,-3.31,-1.79,-2.58,-3.89,-2.74,-2.94
20150929,-1.43,-0.27,-0.29,-0.86,-0.07,-0.12
20150930,1.47,0.86,0.93,2.45,1.83,1.77
20151001,-0.64,-0.4,-0.55,0.34,-0.23,-0.07
20151002,1.97,1.12,1.69,2.24,1.62,1.73
20151005,2.44,2.55,3.04,2.01,2.16,2.14
20151006,0.21,0.04,0.41,-0.7,-0.15,-0.44
20151007,1.29,1.31,1.66,1.44,1.15,1.09
20151008,1.08,1.35,1.87,0.59,1.13,1.2
20151009,0.5,-0.02,0.61,0.24,0.03,0.14
20151012,-0.61,-0.24,-0.88,-0.47,-0.15,-0.14
20151013,-1.2,-0.88,-1.09,-1.33,-0.95,-0.97
20151014,-0.59,-0.81,-0.87,-0.5,-0.57,-0.6
20151015,2.59,1.82,1.87,2.28,1.36,1.1
20151016,-0.17,-0.3,-0.28,0,-0.03,0.1
20151019,-0.25,-0.08,-0.33,-0.29,-0.16,-0.05
20151020,-0.35,0.43,0.64,-0.55,0.19,0.03
20151021,-1.41,-1.32,-1.72,-1.58,-0.97,-0.96
20151022,0.28,1.03,0.63,1.19,0.91,1.11
20151023,0.69,0.75,1.02,0.86,0.78,0.63
20151026,-0.82,-0.77,-1.29,-0.7,-0.37,-0.08
20151027,-1.27,-1.56,-2.24,-0.74,-0.78,-0.86
20151028,2.52,2.73,2.95,2.62,1.95,1.53
20151029,-0.97,-0.66,-0.92,-0.72,-0.38,-0.28
20151030,-0.56,-0.41,-0.15,-0.35,0.04,0.1
20151102,2.53,1.9,2.06,2.35,1.34,1.21
