,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19671020,-0.4,-0.5,-0.46,-0.27,-0.17,0.18
19671023,-0.76,-0.49,-0.79,-0.22,-0.45,-0.48
19671024,-1.04,-0.53,-0.88,-0.62,-0.46,-0.47
19671025,-0.11,0.05,-0.12,-0.37,-0.01,0.57
19671026,0.78,0.26,0.86,0.17,0.14,0.87
19671027,0.35,-0.02,-0.05,0,0.13,-0.04
19671030,-0.1,0.23,0,-0.02,-0.23,-0.14
19671031,-1.11,-0.8,-1,-0.57,-0.8,-1.06
19671101,-1.17,-0.76,-1.07,-0.73,-0.78,-1.81
19671102,-0.75,-0.5,-0.65,-0.38,-0.44,-0.54
19671103,0.05,-0.21,0.16,-0.55,-0.49,-0.58
19671106,-0.58,-0.25,-0.21,-0.42,-0.4,-0.16
19671108,-0.32,-0.18,-0.19,-0.36,-0.21,-0.53
19671109,0.13,0.16,0.1,0.2,0.53,0.65
19671110,0.53,0.38,0.79,0.85,0.52,0.53
19671113,-0.89,-0.75,-0.86,0.17,-0.25,-0.36
19671114,-1.52,-1.3,-1.54,-0.22,-0.38,-0.98
19671115,-0.29,0.06,-0.08,0.15,0.34,0.8
19671116,1.2,0.9,0.95,0.63,0.54,1.5
19671117,0.92,0.5,0.85,0.04,0.18,0.48
19671120,-2.22,-2.12,-2.41,-1.17,-0.97,-1.57
19671121,2.44,2.29,2.95,0.93,1.53,2.06
19671122,1.08,0.83,1.2,0.5,0.66,0.66
19671124,0.09,-0.11,0.08,0.26,0.44,0.07
19671127,0.34,0.51,0.71,0.2,0.32,0.45
19671128,0.87,0.49,0.92,0.33,0.59,0.49
19671129,0.21,0.53,0.27,-0.05,0.1,-0.05
19671130,-0.46,-0.31,-0.18,-0.43,-0.45,-0.49
19671201,1.27,0.78,1.06,0.58,0.35,0.52
19671204,1.43,0.94,1.17,0.32,0.19,1.06
19671205,0.21,-0.11,-0.28,0.22,0.04,0.19
19671206,0.29,0.16,0.55,0.59,0.09,0.53
19671207,0.21,-0.04,0.02,-0.11,-0.07,-0.09
19671208,0.23,-0.04,0.28,-0.31,-0.05,-0.07
19671211,0.71,0.17,0.43,-0.14,-0.45,-0.1
19671212,0.21,0.62,0.78,0.11,0.11,-0.27
19671213,0.62,0.81,1.14,0.39,0.29,0.47
19671214,0.64,0.52,0.51,0.19,0.23,0
19671215,-0.5,-0.66,-1.17,-0.83,-0.1,-0.77
19671218,-0.2,0.42,-0.02,-0.17,0.04,-0.61
19671219,0.15,0.2,0.17,-0.45,0.14,-0.15
19671220,0.66,0.34,0.66,0.65,0.49,0.62
19671221,0.49,0.39,0.46,0.35,0.51,-0.08
19671222,0.6,0.1,0.34,-0.14,0.06,-0.4
19671226,0.78,0.49,0.51,-0.18,0.24,0.13
19671227,0.71,0.67,1,0.75,0.67,0.67
19671228,0.04,0.02,-0.17,0.16,0.05,-0.18
19671229,0.92,0.64,0.99,0.61,0.4,0.79
19680102,0.53,0.19,0.39,0.52,0.11,-1.12
19680103,-0.43,-0.31,-0.68,0.33,-0.44,-1.08
19680104,0.06,-0.02,-0.56,0.76,-0.21,-0.94
19680105,1.62,1.15,0.7,0.98,0.62,0.38
19680108,1.16,0.57,0.85,1,0.95,0.39
19680109,-0.28,0.18,-0.04,-0.8,0.37,-0.21
19680110,0.47,0.27,0.6,0.13,-0.03,0.18
19680111,1.45,0.9,0.92,0.03,0.15,0.15
19680112,1.44,0.4,0.86,0.19,-0.24,0.41
19680115,0.48,0.26,0.48,-0.3,-0.34,-0.04
19680116,0.24,-0.21,-0.03,-0.88,-0.28,-0.78
19680117,0.76,0.35,0.21,-0.33,-0.24,-0.01
19680118,0.66,0.34,0.69,-0.19,-0.22,0.05
19680119,-0.46,-0.43,-0.07,-0.7,-0.35,-0.12
19680122,-1.89,-1.44,-1.73,-1.06,-1.28,-1.4
19680123,-0.84,-0.62,-1.04,-0.7,-0.66,-0.18
19680124,-0.27,-0.11,0.12,-0.11,-0.34,-0.69
19680125,-0.15,-0.21,-0.36,0.3,0,0.05
19680126,0.77,0.62,0.76,0.4,0.26,-0.04
19680129,-0.12,-0.21,-0.35,-0.19,-0.11,-0.04
19680130,-0.69,-0.85,-1.15,0.02,-0.43,-0.71
19680131,-1.09,-0.86,-0.98,-0.03,-0.61,-1.26
19680201,-0.29,0.11,-0.15,0.27,0.44,0.25
19680202,-0.44,-0.13,-0.32,-0.32,-0.3,-0.35
19680205,-0.91,-0.58,-0.88,-0.65,-0.24,-0.35
19680206,-0.04,0.03,0.2,0.41,0.09,-0.09
19680207,0.2,0.23,-0.09,0,0.21,0.24
19680208,-2.51,-1.74,-2.46,-0.95,-0.92,-1.65
19680209,-1.76,-1.55,-1.87,-1.18,-1.08,-1.02
19680213,-1.63,-1.66,-2.02,-0.78,-1.02,-0.9
19680214,1.44,1.17,1.58,0.94,0.86,1.75
19680215,1.04,0.88,0.54,0.17,0.37,0.05
19680216,-0.21,-0.19,-0.05,-0.14,-0.26,-0.63
19680219,0.53,0.29,0.63,0.06,0.22,0.67
19680220,0.82,0.87,1.11,0.46,0.35,0.88
19680221,0.42,0.35,0.54,0.37,0.19,0.67
19680223,-0.34,-0.72,-0.63,-0.67,-0.3,-0.37
19680226,-1.32,-1.06,-1.24,-0.35,-0.54,-0.98
19680227,0.37,0.38,0.56,0.58,0.27,0.46
19680228,-0.47,-0.35,-0.54,-0.43,-0.28,-0.68
19680229,-1.07,-1.26,-1.38,-0.96,-0.68,-0.86
19680301,-1.03,-1,-1.03,-0.1,-0.33,-0.47
19680304,-2.23,-2.34,-2.72,-1.34,-1.2,-1.6
19680305,-1.4,-1.09,-1.52,-0.35,-0.78,0.25
19680306,2.45,1.94,2.42,1.61,1.28,2.12
19680307,0.46,0.24,0.24,-0.34,0.06,-0.34
19680308,0.12,-0.23,-0.37,0.39,0.03,-0.36
19680311,1.86,1.26,2.15,0.68,0.87,1.97
19680312,0.49,0.5,0.65,-0.04,-0.1,0.38
19680313,0.48,-0.15,0.27,-0.05,-0.08,-0.44
19680314,-3.16,-2.13,-3.03,-1.82,-1.89,-2.05
19680315,0.44,0.15,0.56,0.91,0.46,1.04
19680318,0.85,1.09,1.6,0.33,0.53,0.8
19680319,-0.3,-0.52,-0.48,-0.41,-0.53,-0.91
19680320,-0.21,-0.17,-0.21,-0.18,-0.21,0.16
19680321,-1.12,-0.94,-1.03,-0.6,-0.54,-1.04
19680322,-0.21,-0.41,-0.34,-0.02,-0.04,0.21
19680325,-0.1,-0.27,-0.3,-0.03,-0.14,-0.04
19680326,0.61,0.74,0.39,0.23,0.59,0.91
19680327,0.97,0.92,1.11,0.8,0.83,0.91
19680328,0,-0.01,0.06,-0.23,0.01,-0.08
19680329,0.92,0.61,0.83,0.35,0.5,1.16
19680401,1.46,1.64,2.04,2.34,1.93,3.1
19680402,0.24,0.04,0.64,-0.15,0.22,0.33
19680403,0.51,0.73,0.85,0.55,0.84,1.14
19680404,0.61,0.69,0.77,0.44,0.65,0.31
19680405,-0.13,-0.1,-0.13,-0.55,-0.5,-0.68
19680408,2.01,1.26,1.82,1.71,1.35,2.17
19680410,0.87,0.75,0.59,0.49,1.05,0.68
19680411,1.56,1.01,1.3,0.51,0.89,1.17
19680415,0.92,0.43,1.03,0.23,0.18,0.02
19680416,0.86,0.97,0.92,-0.32,0.04,0.22
19680417,1.07,0.9,1.02,0.19,0.49,-0.02
19680418,0.93,0.78,0.6,0.53,0.14,0.18
19680419,-1.05,-1.37,-1.12,-1.73,-1.25,-0.94
19680422,-0.11,-0.34,0.1,-0.66,-0.71,-0.26
19680423,1.92,1.24,1.83,0.92,0.83,1.76
19680424,0.6,0.54,1.06,0.56,0.05,0.15
19680425,0.67,0.57,0.58,0.32,0.22,0.36
19680426,0.73,0.51,0.66,0.03,0.33,0.46
19680429,0.63,0.46,0.61,0.43,0.33,0.14
19680430,0.63,0.46,0.49,0.05,0.19,0.14
19680501,0.41,0.62,0.4,0.16,0.3,0.47
19680502,0.56,0.68,0.47,0.28,0.62,0.83
19680503,-0.18,0.05,0.32,0.03,0.07,0.2
19680506,-0.12,0.15,0.05,-0.09,-0.09,-0.38
19680507,1.34,0.74,0.64,0.47,0.6,0.48
19680508,0.31,0.44,0.5,0.03,-0.05,0.11
19680509,-0.44,-0.71,-0.63,-0.4,-0.47,-0.56
19680510,1.26,0.85,1.13,0.27,0.34,0.12
19680513,0.43,0.5,0.29,0.02,-0.54,-0.12
19680514,0.39,-0.03,0.07,-0.06,-0.02,-0.12
19680515,-0.15,0.51,0.33,-0.09,-0.02,-0.12
19680516,-0.24,-0.09,-0.35,-0.22,-0.48,-0.59
19680517,-0.03,-0.19,-0.23,-0.66,-0.2,-1.03
19680520,-0.26,-0.31,-0.52,-0.47,-0.49,-0.47
19680521,1.04,1.01,1.07,0.33,0.4,0.72
19680522,1.28,0.82,0.91,0.43,0.06,0.3
19680523,-0.07,0.24,0.46,0.02,-0.07,-0.33
19680524,0.8,0.47,0.67,0.15,0.1,0.51
19680527,0.63,0.42,0.82,-0.44,-0.08,0.02
19680528,0.91,0.74,1.01,0.79,0.3,0.76
19680529,0.38,0.41,0.45,0.06,-0.12,0.76
19680531,0.78,0.74,0.75,0.79,0.54,1
19680603,1.13,1.02,0.95,1.18,0.8,1.85
19680604,0.69,0.87,1.22,0.3,0.76,0.33
19680605,-0.63,-0.47,-0.26,-0.5,-0.42,-0.41
19680606,1.55,1.33,1.27,0.81,0.5,0.92
19680607,0.91,1.03,1.11,0.49,0.6,0.73
19680610,-0.07,0.08,-0.13,0.01,0.14,0.28
19680611,0.56,0.51,0.34,0.15,0.27,0.21
19680613,-0.53,-0.47,-0.76,-0.58,-0.09,-0.46
19680614,-0.14,-0.32,-0.37,0.44,0.13,-0.55
19680617,-1.92,-1.28,-1.25,0.05,-0.61,-1.78
19680618,0.08,-0.15,-0.08,0.08,0.14,-0.35
19680620,0.08,0.2,0.29,0.4,0.73,0.47
19680621,-0.04,0.28,0.04,0.74,0.29,-0.23
19680624,-0.58,-0.36,-0.59,0.25,-0.06,-0.8
19680625,-0.9,-0.59,-0.8,-0.3,-0.5,-0.28
19680627,0.09,-0.47,-0.32,-0.6,-0.21,0.14
19680628,0.35,-0.12,0.04,-0.5,-0.19,-0.51
19680701,-0.05,-0.19,-0.09,-0.47,0.08,-0.43
19680702,0.67,0.76,0.51,0.68,0.24,0.46
19680703,1.47,1.59,2.06,1.32,0.91,1.36
19680708,1.39,1.11,1.31,1.24,0.79,1.13
19680709,0.28,0.38,0.19,0.34,0.36,0.15
19680711,0.29,0.23,0.16,0.49,0.48,-0.27
19680712,0.28,-0.03,0.24,0.09,0.25,-0.33
19680715,-0.04,0.24,-0.31,-0.22,-0.09,-0.18
19680716,-0.42,-0.11,-0.61,-0.28,-0.25,-0.82
19680718,-0.42,-0.27,-0.64,-0.56,-0.02,-0.38
19680719,-1.09,-1.1,-1.07,-0.37,-0.4,-1.65
19680722,-1.85,-2.13,-2.34,-1.42,-0.9,-1.4
19680723,-0.33,-0.68,-0.73,-0.23,-0.44,0.07
19680725,-1.31,-1.42,-1.34,-1.09,-0.82,-1.68
19680726,0.07,-0.22,-0.24,0.74,0.38,0.14
19680729,-1.54,-1.17,-1.58,-0.85,-0.48,-0.94
19680730,0.18,0.03,-0.25,0.39,-0.3,0.44
19680801,-0.66,-0.46,-0.52,-0.88,-0.55,-0.23
19680802,-0.37,-0.57,-0.64,-0.65,-0.68,-0.41
19680805,0.65,0.82,0.88,0.32,0.28,0.35
19680806,0.89,0.91,0.72,0.68,0.3,0.44
19680808,-0.29,-0.21,-0.3,-0.42,0.05,-0.39
19680809,0.13,-0.04,0.14,0.14,0.17,-0.07
19680812,1.49,1.14,1.19,0.72,0.72,1.28
19680813,0.42,0.48,0.57,0.64,0.31,0.57
19680815,0.2,-0.3,0.13,-0.32,-0.26,-0.58
19680816,0.89,0.41,0.71,0.7,0.61,0.53
19680819,0.63,0.54,0.46,0.51,0.22,0.31
19680820,0.26,-0.06,0.17,0.31,-0.23,0.09
19680822,-0.46,-0.41,-0.18,-0.35,-0.19,-0.34
19680823,0.49,0.41,0.56,0.18,0.34,-0.42
19680826,0.1,0.06,0.04,0.36,0.3,0.25
19680827,0.07,-0.05,-0.17,0.07,-0.25,-0.2
19680829,-0.44,-0.1,0.01,-0.02,-0.17,0.03
19680830,0.17,0.42,0.44,0.44,0.41,-0.12
19680903,0.16,0.35,0.3,0.31,0.77,0.21
19680904,0.72,0.47,0.73,0.41,0.85,0.61
19680905,0.95,0.41,0.63,1.31,0.32,0.87
19680906,0.86,0.28,0.79,0.51,0.26,0.52
19680909,0.44,0.49,0.44,0.17,0.06,0.05
19680910,-0.46,-0.27,-0.7,-0.55,-0.31,-0.65
19680912,-0.01,0.05,0.33,-0.41,-0.28,-0.16
19680913,0.61,0.72,0.82,0.46,0.16,0.48
19680916,0.57,0.3,0.45,0.52,0.26,0.51
19680917,0.46,-0.04,0.05,0.45,0.09,0.36
19680919,0.52,0.45,0.31,0.07,-0.05,0.26
19680920,0.32,0.17,0.13,0.29,0.32,-0.23
19680923,0.73,0.44,0.52,0.57,0.44,0.78
19680924,0.67,0.66,0.88,0.51,0.3,0.31
19680926,-0.19,0.11,0.24,0.54,-0.22,-0.58
19680927,0.93,0.53,0.56,0.34,0.12,-0.32
19680930,0.72,0.63,0.78,0.72,0.53,0.08
19681001,0.67,0.4,0.54,0.02,0.38,-0.06
19681003,0.5,0.35,0.07,0.04,0.45,0.47
19681004,-0.12,-0.03,-0.34,0.17,0.25,0.45
19681007,-0.33,0.15,-0.21,-0.37,0.13,0.03
19681008,-0.31,-0.25,-0.44,-0.19,0.27,-0.05
19681010,-0.15,-0.21,-0.5,-0.5,-0.34,-0.34
19681011,0.32,0.48,0.4,0.23,-0.03,-0.32
19681014,0.09,0.37,0.5,0.24,0.31,0
19681015,0.41,0.34,0.34,0.39,0.16,0.11
19681017,0.17,0.38,0.4,0.77,0.32,0.62
19681018,0.71,0.45,0.18,0.5,0.57,0.99
19681021,0.24,-0.02,0.24,0.25,0.35,0.04
19681022,-0.39,-0.1,0.13,-0.05,-0.17,-0.66
19681024,-0.43,-0.16,0.14,-0.1,-0.58,-1
19681025,0.58,0.29,0.4,0.96,0.22,0.13
19681028,-0.41,-0.36,-0.53,-0.15,-0.14,-0.5
19681029,-0.92,-0.78,-0.64,-0.41,-0.42,-0.61
19681031,-0.18,-0.16,0.08,0.47,0.11,-0.03
19681101,-0.57,-0.33,-0.63,-0.68,-0.29,-0.15
19681104,-0.31,-0.3,-0.06,-0.31,-0.05,0.39
19681106,0.22,0.45,0.35,0.14,0.57,-0.08
19681107,0,0.16,-0.03,-0.03,0.16,0.69
19681108,0.91,0.86,0.68,0.55,0.67,0.32
19681112,1,0.9,0.92,0.34,0.94,0.76
19681113,0.45,1.04,1.16,0.62,0.64,0.45
19681114,0.41,0.37,0.71,0.14,0.12,0.02
19681115,0.87,0.79,0.71,-0.05,0.83,0.48
19681118,0.15,0.19,0.23,0.31,0.27,0.06
19681119,0.55,0.38,0.33,0.46,0.23,0.26
19681121,0.33,0.21,0.15,-0.16,-0.08,-0.05
19681122,0.79,0.61,0.75,0.68,0.34,0.39
19681125,0.49,0.39,0.48,0.47,0.13,0.24
19681126,0.6,0.56,0.73,0.92,0.52,0.75
19681127,0.8,0.74,0.47,0.52,0.1,0.63
19681129,0.91,0.45,0.71,1.2,0.26,0.55
19681202,0.46,-0.07,0.11,-0.23,-0.29,-0.12
19681203,0.22,-0.21,0.12,0.22,-0.28,0.05
19681205,0.36,-0.03,0.13,-0.56,0.01,-0.5
19681206,0.55,0.51,0.67,0.11,0.48,0.11
19681209,0.64,0.22,0.18,-0.23,-0.19,-0.31
19681210,0.22,0.18,0.04,0.02,-0.25,-0.32
19681212,0.42,0.21,0.12,0.03,-0.02,-0.22
19681213,0.59,0.59,0.25,0.68,0.41,-0.1
19681216,-0.21,-0.34,-0.11,-0.08,-0.38,-0.58
19681217,-0.76,-0.57,-0.52,-0.29,-0.7,-0.23
19681219,0.33,-0.06,0.27,-0.15,0.21,0.54
19681220,0.3,0.02,-0.12,-0.62,-0.61,-0.56
19681223,-0.76,-0.72,-0.79,-1.09,-0.98,-1.19
19681224,0.17,-0.07,-0.21,-0.21,-0.22,0.01
19681226,0.34,0.07,0.24,0.24,0.2,-0.05
19681227,-0.16,-0.1,-0.17,-0.16,-0.33,-0.45
19681230,-1.61,-1.34,-1.37,-1.14,-0.8,-0.98
19681231,0.61,0.34,0.41,0.11,-0.08,0.1
19690102,0.38,0.49,0.36,0.22,0.01,0.13
19690103,-0.13,0.24,-0.16,-0.33,0.02,0.19
19690106,-2.01,-1.62,-1.88,-1.68,-1.14,-1.64
19690107,-2.39,-1.9,-2.38,-1.62,-1.16,-1.06
19690108,-0.86,-0.82,-0.82,-0.4,-0.46,-0.42
19690109,0.5,0.43,0.73,0.34,0.35,0.51
19690110,-0.36,-0.26,-0.28,-0.06,0.05,-0.74
19690113,-1.73,-1.14,-1.6,-0.49,-0.42,-0.75
19690114,1.01,0.53,0.63,0.82,0.44,1
19690115,1.25,1.07,1.15,0.63,0.46,0.51
19690116,0.86,0.9,1.03,1,0.51,0.4
19690117,0.31,0.09,0.29,-0.33,-0.11,-0.05
19690120,0.32,-0.02,0.16,0.13,-0.22,-0.5
19690121,-0.06,0.14,-0.17,-0.09,-0.28,0.01
19690122,0.92,0.49,0.56,0.84,0.19,0.22
19690123,1.28,0.71,0.57,0.46,0.53,0.37
19690124,-0.01,-0.01,-0.15,-0.04,0.05,-0.1
19690127,-0.09,-0.07,-0.09,-0.4,0.3,-0.11
19690128,0.26,0.08,0.01,0.01,0.33,-0.19
19690129,0.2,-0.08,-0.02,0.12,0.55,-0.22
19690130,-0.32,-0.24,-0.2,0.23,0.01,-0.06
19690131,0.08,0.22,0.09,0.38,0.26,0.52
19690203,-0.11,-0.13,-0.18,0.27,-0.04,-0.28
19690204,-0.1,0.19,0.08,0.2,-0.01,-0.06
19690205,-0.36,-0.02,0.04,0,0.57,0.02
19690206,-0.31,0.07,0.06,0.14,0.4,0.51
19690207,0.08,0.11,0.18,-0.15,0.01,0.25
19690211,0.34,0.1,0.23,-0.01,0.01,0.23
19690212,0.02,-0.23,0.15,-0.01,-0.03,0.02
19690213,-0.25,-0.13,-0.02,-0.06,-0.01,0.34
19690214,-0.29,0.02,-0.14,0.06,-0.1,-0.12
19690217,-1.97,-1.51,-1.56,-1.39,-0.61,-1.52
19690218,-1.78,-1.49,-1.75,-1.23,-1.18,-0.77
19690219,-1.1,-0.79,-0.89,-0.83,-0.63,-0.82
19690220,-1.71,-1.06,-1.29,-0.99,-1,-0.59
19690224,-2.04,-1.88,-1.91,-1.27,-1.47,-0.81
19690225,-1.2,-1.03,-1.2,-0.69,-0.72,-0.5
19690226,0.44,0.21,0.22,0.5,0.18,0.65
19690227,-0.77,-0.59,-0.57,-0.53,-0.13,-0.54
19690228,-0.07,0.06,-0.2,-0.03,-0.02,0.05
19690303,-0.15,0.02,-0.25,0.03,0.23,0.44
19690304,1.08,1.19,1.02,1.35,0.92,0.83
19690305,0.61,0.2,0.35,0.58,0.19,0.51
19690306,-1.46,-1.22,-1.36,-1.1,-1.01,-1.12
19690307,-0.75,-0.75,-0.87,0.37,-0.07,-0.21
19690310,0.52,0.4,0.24,-0.2,0.31,0.63
19690311,0.61,0.71,0.63,0.62,0.36,0.31
19690312,-0.45,-0.21,-0.16,-0.21,-0.17,-0.35
19690313,-0.77,-0.75,-0.87,-0.38,-0.45,-0.94
19690314,-0.73,-0.85,-0.94,-0.42,-0.29,-0.59
19690317,0.09,-0.25,-0.02,-0.13,0.03,0.68
19690318,0.69,0.44,0.73,0.49,0.21,0.15
19690319,1.07,0.67,0.57,0.68,0.65,0.88
19690320,0.88,0.99,0.91,0.56,0.59,0.61
19690321,0.02,0.23,0.15,-0.13,-0.13,-0.35
19690324,0.02,-0.18,0.04,-0.2,-0.12,-0.12
19690325,0.31,-0.01,0.17,0.22,0,0.28
19690326,0.68,0.25,0.65,1.12,0.6,0.63
19690327,0.75,0.78,0.87,1.01,0.56,0.63
19690328,0.62,0.77,0.76,0.55,0.26,0.38
19690401,-0.08,0.11,-0.15,-0.26,0,-0.21
19690402,-0.92,-0.66,-0.92,-0.84,-0.4,-0.76
19690403,-0.13,-0.02,-0.04,-0.19,-0.16,0.05
19690407,-1.32,-0.95,-1.09,-0.83,-0.83,-0.74
19690408,0.5,-0.01,0,0.26,0.39,0.05
19690409,0.9,0.4,0.76,1.11,0.61,0.95
19690410,0.56,0.3,0.48,0.55,0.54,0.44
19690411,0.36,0.24,0.1,0.16,0.2,0.03
19690414,-0.27,-0.21,-0.18,-0.08,0.06,-0.2
19690415,-0.39,0.04,-0.29,-0.32,-0.01,0.11
19690416,-1.15,-0.52,-0.82,-1.17,-0.72,-0.9
19690417,0.07,0.15,0.13,0.17,0.26,0.01
19690418,0.15,0.29,0.23,0.47,0.67,0.23
19690421,-1.2,-0.85,-1.17,-1.05,-0.63,-0.62
19690422,0.21,0.09,-0.33,-0.2,0,0.64
19690423,0.33,0.31,0.63,0.3,0.09,-0.06
19690424,0.67,0.31,0.2,0.18,0.48,0.65
19690425,0.77,0.33,0.4,0.57,0.19,0.63
19690428,0.45,0,0.41,0.57,0.08,0.55
19690429,1.23,0.78,1.21,0.51,0.57,1.18
19690430,1.48,0.99,0.98,0.92,0.84,0.87
19690501,0.11,0.23,0.29,0.05,-0.26,-0.13
19690502,0.51,0.41,0.49,0.59,0.55,0.46
19690505,0.53,0.87,0.73,0.69,0.44,0.39
19690506,0.46,0.65,0.44,0.83,0.39,0.4
19690507,-0.37,-0.19,-0.08,-0.07,0.02,-0.43
19690508,0.23,0.26,0.15,0.36,0.28,0.47
19690509,0,-0.06,-0.18,0.39,0.23,-0.05
19690512,-0.35,-0.31,-0.48,-0.13,-0.11,-0.13
19690513,0.58,0.26,0.3,0.38,0.28,0.51
19690514,0.5,0.42,0.28,0.52,0.79,0.79
19690515,-0.24,-0.2,-0.22,-0.25,-0.01,-0.57
19690516,-0.15,-0.35,0,0.03,-0.01,0.21
19690519,-0.77,-0.44,-0.69,-0.89,-0.62,-1.11
19690520,-0.65,-0.79,-0.62,-1.01,-0.78,-0.83
19690521,0.77,0.34,0.3,0.33,0.3,0.52
19690522,0.05,0.24,-0.02,0.53,0.13,0.17
19690523,-0.26,0.1,-0.14,-0.2,-0.3,0.41
19690526,-0.27,-0.15,-0.29,-0.37,-0.12,-0.19
19690527,-1.05,-0.7,-0.67,-1.05,-0.49,-0.9
19690528,0.22,-0.1,-0.41,-0.47,-0.34,-0.12
19690529,0.48,0.28,0.29,0.28,0.44,-0.01
19690602,-0.37,-0.5,-0.3,-0.88,-0.39,-0.43
19690603,-0.53,-0.55,-0.46,-0.26,-0.15,-0.37
19690604,-0.01,-0.13,-0.01,-0.3,0.12,0.12
19690605,-0.2,0.03,0.22,0.11,0.05,0.25
19690606,-0.93,-0.88,-0.46,-0.92,-0.59,-0.54
19690609,-0.94,-1.35,-1.06,-1.27,-1,-0.61
19690610,-0.84,-0.79,-0.67,-0.69,-0.8,-0.74
19690611,-1.41,-1.18,-1.27,-0.77,-0.9,-0.9
19690612,-2.13,-1.61,-2.04,-1.4,-1.46,-1.13
19690613,0.28,0.03,-0.09,0.44,0.33,0.44
19690616,-1.08,-0.65,-0.58,-0.83,-0.22,-0.15
19690617,-1.2,-0.91,-1.3,-0.91,-0.47,-0.1
19690618,-0.64,-0.2,-0.15,-0.38,-0.14,-0.11
19690619,-1.79,-1.25,-1.69,-0.76,-0.78,-0.49
19690620,-1.5,-1.02,-1.3,-0.78,-0.48,-0.68
19690623,-1.36,-1.48,-1.61,-0.78,-0.59,-0.21
19690624,1.27,0.69,1.16,0.99,0.79,1.48
19690625,-0.85,-0.59,-0.18,-0.69,-0.07,-0.42
19690626,-0.19,-0.11,-0.3,-0.4,-0.03,0.75
19690627,0.15,-0.04,0.17,-0.01,0.07,0.08
19690630,0.83,0.71,0.57,0.37,0.16,0.73
19690701,1.24,0.64,0.68,0.81,0.15,0.52
19690702,1.37,0.9,1.12,0.78,0.54,1.23
19690703,1.16,1.05,1.08,0.83,0.67,0.74
19690707,-1.01,-0.53,-0.55,-0.57,-0.49,-0.77
19690708,-1.49,-1.3,-1.05,-1.67,-1.11,-1.52
19690709,-1.02,-0.94,-1.13,-0.65,-0.69,-0.83
19690710,-2.12,-1.85,-1.83,-1.7,-1.35,-1.61
19690711,-0.2,-0.28,-0.3,0.01,0.27,0.7
19690714,-1.82,-1.27,-1.65,-0.94,-1.12,-1.61
19690715,-0.95,-0.85,-1.01,-0.92,-0.21,-0.18
19690716,1.27,1.12,1.14,1.21,0.64,1.37
19690717,0.41,0.39,0.27,0.28,0.63,0.64
19690718,-0.72,-0.53,-0.4,-0.53,-0.7,-1.04
19690722,-1.8,-1.26,-1.47,-2,-1.41,-1.49
19690723,-0.82,-1.33,-1.09,-0.78,-0.52,-0.14
19690724,-0.55,-0.55,-0.43,-0.15,-0.25,-0.61
19690725,-1.26,-1.14,-1.44,-1.45,-0.63,-1.1
19690728,-4.44,-3.11,-3.72,-2.62,-1.65,-2.04
19690729,-1.74,-1.5,-1.78,-0.78,-0.99,-0.6
19690730,1.05,0.63,0.5,0.38,0.25,0.87
19690731,2.89,2.71,2.58,2.42,1.8,2.38
19690801,2.79,2.44,2.54,2.17,1.85,1.84
19690804,-0.91,-0.68,-0.23,-0.32,-0.11,-0.93
19690805,0.3,-0.05,-0.07,0.13,0.23,0.92
19690806,0.76,0.85,1.05,0.47,0.55,0.78
19690807,0.06,-0.1,0.2,0.08,0.2,0.06
19690808,-0.23,-0.2,0.06,-0.11,0.12,-0.12
19690811,-0.7,-0.56,-0.54,-0.74,-0.56,-0.5
19690812,-1.14,-1.04,-0.84,-0.99,-0.74,-0.72
19690813,-0.01,-0.3,-0.01,0.14,0,0.17
19690814,1.15,1.02,1.11,0.77,0.38,1.06
19690815,0.45,0.68,0.91,0.92,0.79,0.84
19690818,1.08,1.03,1.19,0.81,0.51,0.82
19690819,0.67,0.76,0.94,0.64,0.55,0.5
19690820,-0.05,0.01,-0.08,0.05,0.02,0.01
19690821,0.36,0.16,0.27,0.26,0.19,0.36
19690822,0.91,0.66,0.32,0.16,0.81,0.74
19690825,-1.04,-0.64,-0.44,-0.83,-0.54,-1.33
19690826,-0.84,-0.85,-0.82,-0.88,-0.62,-0.69
19690827,0.28,0.4,0.3,0.48,-0.04,0.47
19690828,0.18,0.12,0.44,0.56,0.14,0.65
19690829,0.86,0.82,0.86,1.55,0.6,0.48
19690902,-0.26,-0.19,-0.04,0.39,-0.01,-0.33
19690903,-0.98,-0.76,-0.84,-0.81,-0.47,-0.72
19690904,-0.9,-0.93,-0.86,-1.19,-0.9,-0.63
19690905,-0.73,-0.7,-0.42,-0.49,-0.65,-0.56
19690908,-1.14,-1.15,-1.15,-1.17,-1.02,-0.92
19690909,0.42,0.51,0.7,0.61,0.83,0.84
19690910,1.75,1.48,1.39,2,1.41,1.8
19690911,-0.38,-0.29,-0.1,-1.2,-0.7,-0.54
19690912,0.11,-0.08,-0.1,0.03,0.03,0.23
19690915,0.81,0.83,1.05,0.83,0.32,0.77
19690916,0.3,0.25,0.38,-0.55,0.11,0.4
19690917,-0.38,-0.14,-0.07,-0.81,-0.47,0.04
19690918,0.52,0.22,0.6,-0.42,0.41,0.45
19690919,0.84,0.56,0.42,-0.03,0.03,0.71
19690922,0.43,0.14,0.29,0,0.17,0.82
19690923,0.06,0.21,0.51,-0.1,0.15,-0.12
19690924,-0.38,-0.33,0.13,-0.08,-0.15,-0.25
